iter	Passed	Remaining
945	84456	4821
946	84547	4731
947	84630	4642
948	84718	4552
949	84814	4463
950	84927	4375
951	85011	4286
952	85099	4196
953	85187	4107
954	85270	4017
955	85370	3929
956	85482	3840
957	85574	3751
958	85677	3662
959	85770	3573
960	85862	3484
961	85952	3395
962	86050	3306
963	86140	3216
964	86234	3127
965	86314	3037
966	86395	2948
967	86504	2859
968	86600	2770
969	86693	2681
970	86780	2591
971	86867	2502
972	86956	2412
973	87041	2323
974	87135	2234
975	87268	2145
976	87358	2056
977	87453	1967
978	87552	1878
979	87655	1788
980	87744	1699
981	87834	1610
982	87918	1520
983	88041	1431
984	88143	1342
985	88238	1252
986	88327	1163
987	88409	1073
988	88495	984
989	88581	894
990	88679	805
991	88769	715
992	88864	626
993	88959	536
994	89055	447
995	89143	358
996	89238	268
997	89317	178
998	89437	89
999	89519	0
